,HINCP,AGEP,vet,period,HICOV,SEX,pregion,racepct,marital,school,emppct,poverty,dispct,haskid,hhtype,cowr
281,241100.0,51,2,3.0,1,1,2,1,1,2,1.0,0,2,1,1,1.0
282,57300.0,48,2,3.0,1,1,3,2,1,2,1.0,0,2,2,1,2.0
283,72000.0,45,2,3.0,1,2,1,1,1,2,3.0,0,1,2,1,1.0
284,22600.0,76,2,3.0,1,2,3,2,1,2,1.0,0,2,1,1,2.0
285,20000.0,53,2,3.0,1,1,1,4,1,2,1.0,0,2,2,1,1.0
286,63400.0,59,1,3.0,1,1,4,1,1,2,1.0,0,1,1,1,2.0
287,280100.0,63,2,3.0,1,2,4,1,1,2,3.0,0,1,2,1,1.0
288,120000.0,38,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
289,22200.0,17,2,3.0,1,2,3,1,4,2,1.0,0,2,2,2,1.0
290,17400.0,58,2,3.0,1,2,3,2,4,2,3.0,0,1,1,3,1.0
291,31400.0,76,2,3.0,1,2,5,8,1,2,3.0,0,2,1,1,1.0
292,40000.0,29,2,3.0,1,2,4,1,1,2,3.0,0,2,2,1,1.0
293,120830.0,62,2,3.0,1,1,1,1,1,2,1.0,0,1,1,1,1.0
294,131500.0,46,2,3.0,1,2,4,5,1,2,1.0,0,2,2,1,1.0
295,14400.0,53,2,3.0,1,1,4,2,4,2,1.0,0,2,1,3,1.0
296,4200.0,52,2,3.0,1,1,1,1,2,2,1.0,1,2,1,3,1.0
297,158000.0,47,2,3.0,1,1,4,1,1,2,1.0,0,2,2,1,1.0
298,31300.0,67,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
299,41000.0,49,2,3.0,2,2,3,8,2,2,1.0,1,2,1,2,3.0
300,20000.0,39,2,3.0,2,1,3,8,1,2,1.0,1,2,2,2,1.0
301,175050.0,39,2,3.0,1,1,4,1,1,1,1.0,0,2,2,1,1.0
302,60100.0,76,2,3.0,1,2,2,1,1,2,3.0,0,1,1,1,1.0
303,330000.0,45,2,3.0,1,2,3,8,1,2,1.0,0,2,2,1,1.0
304,126000.0,47,2,3.0,1,1,1,1,1,1,1.0,0,2,2,1,1.0
305,172000.0,58,2,3.0,1,1,2,1,3,2,1.0,0,2,2,2,1.0
306,28900.0,49,1,7.0,1,1,2,1,1,2,3.0,0,1,1,2,1.0
307,74000.0,58,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,1.0
308,33500.0,78,2,3.0,1,2,2,1,3,2,3.0,0,1,1,2,1.0
309,300600.0,50,2,3.0,1,2,4,1,1,2,3.0,0,2,2,1,1.0
310,71000.0,75,2,3.0,1,2,4,1,2,2,3.0,0,2,1,3,1.0
311,74000.0,20,2,3.0,1,2,3,1,4,2,1.0,1,2,1,1,1.0
312,77000.0,35,2,3.0,2,1,4,8,4,2,1.0,0,2,1,2,3.0
313,164200.0,52,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,1.0
314,22300.0,34,2,3.0,1,2,1,1,4,2,1.0,1,2,2,2,1.0
315,52140.0,69,1,3.0,1,1,4,1,1,2,3.0,0,2,1,1,1.0
316,42600.0,57,2,3.0,1,1,1,1,1,2,1.0,0,2,1,1,3.0
317,41200.0,47,2,3.0,1,2,1,1,1,2,3.0,0,2,2,1,1.0
318,85000.0,36,2,3.0,1,2,2,1,1,2,1.0,0,2,2,1,1.0
